Date,Open,High,Low,Close,Volume
20-06-2018,,109.50,107.00,107.00,2740
21-06-2018,,109.00,105.00,105.00,99326
22-06-2018,,106.00,104.50,105.00,86520
25-06-2018,,107.20,106.10,107.10,215
26-06-2018,,105.30,103.00,103.10,25203
28-06-2018,,105.50,103.10,103.50,1335
29-06-2018,,105.00,103.50,104.00,13637
02-07-2018,,105.00,104.00,104.10,3011
03-07-2018,,103.50,103.50,103.50,613
04-07-2018,,101.80,101.00,101.00,6950
05-07-2018,,103.40,100.00,102.00,32050
06-07-2018,,104.90,102.50,103.20,9497
09-07-2018,,102.60,102.00,102.00,2102
10-07-2018,,105.00,104.00,104.00,10299
11-07-2018,,105.00,103.00,105.00,36554
12-07-2018,,107.00,105.00,105.10,10508
13-07-2018,,106.00,105.00,105.00,5146
16-07-2018,,108.00,105.00,105.00,15375
17-07-2018,,109.00,105.00,107.60,7932
18-07-2018,,108.20,108.00,108.00,11025
19-07-2018,,108.00,107.00,107.00,598
20-07-2018,,108.00,107.00,108.00,7738
23-07-2018,,111.00,108.50,110.00,79416
24-07-2018,,114.50,110.00,113.60,46929
25-07-2018,,114.90,112.20,113.90,15297
26-07-2018,,114.00,112.50,112.80,9058
30-07-2018,,113.80,113.00,113.00,3019
31-07-2018,,113.50,113.00,113.00,2061
01-08-2018,,113.80,113.10,113.30,4351
02-08-2018,,117.00,113.10,114.30,28823
03-08-2018,,115.00,114.00,115.00,1201
06-08-2018,,115.00,113.90,113.90,1172
07-08-2018,,113.20,112.20,112.90,12608
08-08-2018,,114.00,112.90,113.00,14462
09-08-2018,,114.00,113.50,113.90,251
10-08-2018,,114.00,113.90,113.90,2313
13-08-2018,,114.00,112.00,113.10,3615
14-08-2018,,113.50,112.00,112.00,9664
15-08-2018,,112.50,110.20,110.40,3253
16-08-2018,,111.60,107.00,110.90,802
17-08-2018,,111.90,111.00,111.10,78658
20-08-2018,,111.90,109.00,109.00,3111
21-08-2018,,109.00,105.00,108.00,22320
24-08-2018,,109.00,108.00,108.00,2243
27-08-2018,,108.00,108.00,108.00,17
28-08-2018,,107.60,107.00,107.00,1576
29-08-2018,,109.00,107.00,107.10,8665
30-08-2018,,109.00,106.20,109.00,1242
31-08-2018,,109.00,107.00,107.20,25611
03-09-2018,,108.00,106.20,108.00,1951
04-09-2018,,109.00,106.50,109.00,6251
05-09-2018,,109.00,107.00,108.20,850
06-09-2018,,107.00,107.00,107.00,710
07-09-2018,,107.50,106.50,106.60,2958
10-09-2018,,108.00,105.00,107.10,14605
11-09-2018,,108.50,107.90,108.00,5743
